Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4kTkoT7mNXTJ21WwFTIDxA,"4lPl9gqgox3JDiaJ1yklKh","Hookers","Whack World","Tierra Whack",2018-05-30,60000,58,spotify:user:prancingoctopus,2023-12-03T22:45:59Z,"alternative r&b",0.702,0.499,4,-6.828,0,0.149,0.692,0.0000033,0.16,0.228,167.079,4
4304kbwhzhb8A3n6wl27Kg,"4UXqAaa6dQYAk18Lv7PEgX","Of All The Gin Joints In All The World","From Under The Cork Tree","Fall Out Boy",2005-05-03,191160,57,spotify:user:prancingoctopus,2023-12-03T22:46:07Z,"emo,modern rock,pop,rock",0.42,0.93,0,-3.416,1,0.0571,0.0047,0,0.0719,0.709,172.124,4
49vh9DnllDMiHcrrVfhSeE,"5FxD8fkQZ6KcsSYupDVoSO","Trouble","Trouble","Omar Apollo",2019-01-30,203213,26,spotify:user:prancingoctopus,2023-12-03T22:46:14Z,"bedroom pop,bedroom soul",0.665,0.351,6,-11.461,1,0.0437,0.591,0.0118,0.109,0.241,123.111,4
4u2JQ1rzBirJVn6Ka2aQ5l,"4UXqAaa6dQYAk18Lv7PEgX","XO","From Under The Cork Tree","Fall Out Boy",2005-05-03,220653,52,spotify:user:prancingoctopus,2023-12-03T22:46:20Z,"emo,modern rock,pop,rock",0.482,0.963,11,-3.161,0,0.0743,0.000633,0,0.0959,0.423,131.333,4
0gmYtRyuvRKpd6cCApSDTh,"6U3ybJ9UHNKEdsH7ktGBZ7,4IVAbR2w4JJNJDDRFP3E83","8701","The Never Story","JID,6LACK",2017-03-10,111809,57,spotify:user:prancingoctopus,2023-12-03T22:46:29Z,"hip hop,pop rap,rap,underground hip hop,atl hip hop,melodic rap,r&b,trap",0.547,0.636,4,-8.739,0,0.443,0.112,0.0000101,0.142,0.416,173.961,4
53XiAFWzn7cGwHF86nnUAt,"0wNZvrIMNUCs24G0wFg2D6","9/10","POST-","Jeff Rosenstock",2018-01-01,209717,46,spotify:user:prancingoctopus,2023-12-03T22:46:37Z,"bubblegrunge,folk punk,indie punk,modern power pop",0.665,0.492,11,-7.657,1,0.0262,0.0771,0.00000144,0.0884,0.438,142.062,4
028njLMKzGg4gAVSgMeOhm,"4UXqAaa6dQYAk18Lv7PEgX","Hum Hallelujah","Infinity On High","Fall Out Boy",2007-01-01,230506,58,spotify:user:prancingoctopus,2023-12-03T22:46:45Z,"emo,modern rock,pop,rock",0.466,0.957,2,-3.302,1,0.0637,0.00784,0,0.48,0.657,183.959,4
0WpDeBJ22LcwF4QoERQOTv,"4lPl9gqgox3JDiaJ1yklKh","Hungry Hippo","Whack World","Tierra Whack",2018-05-30,60000,56,spotify:user:prancingoctopus,2023-12-03T22:46:53Z,"alternative r&b",0.893,0.61,4,-5.691,0,0.0488,0.0227,0.00744,0.102,0.778,136.64,4
0dqREqnSQyV4mBwfPdFbLk,"4UXqAaa6dQYAk18Lv7PEgX","Calm Before the Storm","Take This to Your Grave","Fall Out Boy",2003-05-06,267386,52,spotify:user:prancingoctopus,2023-12-03T22:46:58Z,"emo,modern rock,pop,rock",0.597,0.918,9,-5.192,1,0.109,0.000556,0.00000185,0.346,0.501,92.443,4
7hDVYcQq6MxkdJGweuCtl9,"6qqNVTkY8uBg9cP3Jd7DAH","ocean eyes","dont smile at me","Billie Eilish",2017-12-22,200379,84,spotify:user:prancingoctopus,2023-12-03T22:47:05Z,"art pop,pop",0.511,0.363,4,-7.65,0,0.041,0.816,0.0317,0.084,0.169,144.892,4
