track,artist,album,times_played
Eight Line Poem - 1999 Remastered Version,David Bowie,Hunky Dory,2
El Condor Pasa (If I Could),Simon & Garfunkel,The Essential Simon & Garfunkel,1
El Mañana,Gorillaz,Demon Days,3
Ele E Carioca,be happy,Vinicius de Moraes Songbook Vol. 3,2
Electric,Atlas Genius,When It Was Now,1
Electric Church Red House,Jimi Hendrix,Blues,3
Electric City,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),1
Electric Feel,MGMT,Oracular Spectacular,14
Electric Feel - Justice Remix,MGMT,Electric Feel,5
Electric Love,BØRNS,Candy,1
Electricity,Arctic Monkeys,R U Mine? / Electricity,12
Elenore,The Turtles,Pirate Radio,1
"Elephant Love Medley - From ""Moulin Rouge"" Soundtrack",Nicole Kidman,Moulin Rouge,1
Elevate,St. Lucia,When The Night,4
Elevator,The Black Keys,Magic Potion,2
"Elgar: Variations on an Original Theme, Op. 36 ""Enigma"": Variation I. C.A.E.",Edward Elgar,Elgar: Enigma Variations & Pomp & Circumstance Marches Nos 1-5,1
Elodie,Lanterns on the Lake,Until the Colours Run,2
Embraceable You,Frank Sinatra,Highlights From Duets,1
Emenius Sleepus,Green Day,Dookie,1
Emotion,Destiny's Child,Survivor,1
Empire Ants (feat. Little Dragon),Gorillaz,Plastic Beach,1
End Credits (The Addam'S Family),Budapest Studio Orchestra,Highlander - Best Of Fantasy,1
Ender's War,Steve Jablonsky,Ender's Game,2
Endless Sleeper,The Raveonettes,Pe'ahi,1
Enjoy the Ride,Krewella,Get Wet,1
Enough for Now,The Fray,The Fray,1
Epiphany,Johnny Depp,"Sweeney Todd, The Demon Barber of Fleet Street, The Motion Picture Soundtrack",11
Eros,Young the Giant,Mind Over Matter,1
Erotic City,Prince,The Hits / The B-Sides,10
Eternal Summer,Fall Out Boy,PAX AM Days,25
Even My Dad Does Sometimes,Ed Sheeran,x,11
Evening by Zona Gale,Nelson Olmsted,Tales of Suspense,1
Everlasting Arms,Vampire Weekend,Modern Vampires of the City,40
Everlasting Light,The Black Keys,Brothers,16
Everlong,Foo Fighters,The Colour And The Shape,4
Everlong,Foo Fighters,Greatest Hits,4
Every Other Freckle,alt-J,This Is All Yours,2
Every Other Freckle,alt-J,Every Other Freckle,2
Every Planet We Reach Is Dead,Gorillaz,Demon Days,2
Everybody (Backstreet's Back) - Extended Version,Backstreet Boys,Backstreet Boys,1
Everybody Needs Somebody To Love (Finale) - Live,The Rolling Stones,Live 1965: Music From Charlie Is My Darling,1
Everybody Wants To Rule The World,Tears For Fears,Songs From The Big Chair,4
Everybody Wants To Rule The World,Tears For Fears,Tears Roll Down (Greatest Hits 82-92),4
Everyday Robots,Damon Albarn,Everyday Robots,36
Everything,Michael Bublé,Call Me Irresponsible,1
Everything Goes My Way,Metronomy,The English Riviera,2
Everything in Its Right Place,Radiohead,Kid A,6
Everything Is Embarrassing,Sky Ferreira,Ghost,1
Everything Was Covered In Snow,Message To Bears,Folding Leaves,1
Evey Reborn,Dario Marianelli,V For Vendetta,1
Evil Eye,Franz Ferdinand,"Right Thoughts, Right Words, Right Action (Deluxe Edition)",2
Evil Eye - Alan Braxe Remix,Franz Ferdinand,Evil Eye Remixes,6
Evil Eye - The New Sins FREAK Version,Franz Ferdinand,Evil Eye Remixes,1
Evil Twin,Arctic Monkeys,Suck It and See,5
Excuses,The Morning Benders,Big Echo,1
Exp,Jimi Hendrix,Axis: Bold As Love,5
Extra Astronomical,Klaxons,Surfing the Void,5
Eyes on Fire - Zeds Dead RMX,Blue Foundation,Eyes on Fire,1
Ezy Ryder,Jimi Hendrix,First Rays Of The New Rising Sun,2
F For You,Disclosure,Settle,1
F**ked up Kids,The Maine,Forever Halloween (Deluxe Version),2
Face Down,The Red Jumpsuit Apparatus,Don't You Fake It,1
Faces,Ed Sheeran,The Slumdon Bridge,8
Fade Into You,Mazzy Star,So Tonight That I Might See,1
Fake Tales Of San Francisco,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",41
Fake Your Death,My Chemical Romance,May Death Never Stop You,30
Fake Your Death,My Chemical Romance,Fake Your Death,30
Fakin' It,Simon & Garfunkel,The Essential Simon & Garfunkel,1
Fall,Ed Sheeran,The A Team,10
Fall In Love,Phantogram,Voices,27
Falling,Yuna,Nocturnal,1
FALLINLOVE2NITE (feat. Zooey Deschanel),Prince,FALLINLOVE2NITE (feat. Zooey Deschanel),3
Fame - 1999 Remaster,David Bowie,Best of Bowie,3
Fame < Infamy,Fall Out Boy,Infinity On High,5
Famous Blue Raincoat,Leonard Cohen,The Best Of Leonard Cohen,1
Famous Last Words,My Chemical Romance,The Black Parade,64
Famous Last Words - Live in Mexico City,My Chemical Romance,The Black Parade Is Dead!,1
Fancy,Iggy Azalea,Fancy,1
Fantasy,The xx,xx,1
Far From Any Road,The Handsome Family,Singing Bones,1
Far Too Young to Die,Panic! At The Disco,"Too Weird to Live, Too Rare to Die!",1
Fashionably Late,Falling In Reverse,Fashionably Late [Deluxe Edition],1
Fat Bottomed Girls - 1991 Bonus Remix,Queen,Jazz,1
Fat Bottomed Girls - Digital Remaster,Queen,The A-Z of Queen Vol. 1,2
Fat Bottomed Girls - Remastered 2011,Queen,Jazz,3
Fat Bottomed Girls - Single Version / Remastered 2011,Queen,Jazz,2
Fat Lip,Sum 41,"All Killer, No Filler",4
Father And Son,Yusuf / Cat Stevens,Gold,1
Fear of Sleep,The Strokes,First Impressions Of Earth,1
Fed to Death,Say Anything,Say Anything,1
Feel Again,OneRepublic,Feel Again,2
Feel Again,OneRepublic,Native,2
Feel Good Inc.,Gorillaz,Demon Days,3
Feel It,Black Eyed Peas,Monkey Business,3
Feel It,Black Eyed Peas,Monkey Business/Elephunk,3
Feels Like The End,Mikky Ekko,Feels Like The End,6
Fell In Love With A Girl,The White Stripes,White Blood Cells,47
Fergalicious,Fergie,The Dutchess,1
Fever,The Black Keys,Fever,16
Fiction,The xx,Coexist,1
Fictional Reasons,Boho Dancer,Fictional Reasons,1
Fidelity,Regina Spektor,Begin to Hope,1
Fields Of Gold,Sting,The Best Of 25 Years,1
Fight,DJ Fresh,Kryptonite,2
Fight For Your Right,Beastie Boys,Licensed To Ill,4
Fight From The Inside - Remastered 2011,Queen,Queen 40 Limited Edition Collector's Box Set Vol. 2,1
Fill Your Heart - 1999 Remastered Version,David Bowie,Hunky Dory,1
Final Masquerade,Linkin Park,The Hunting Party,1
"Finale ""Wicked"" - From ""Wicked"" Original Broadway Cast Recording/2003",Stephen Schwartz,Wicked,1
Find My Way/Finale,Original Cast Recording,Legally Blonde,2
Finger Back,Vampire Weekend,Modern Vampires of the City,20
Fire,Jimi Hendrix,Experience Hendrix: The Best Of Jimi Hendrix,88
Fire,Jimi Hendrix,Voodoo Child: The Jimi Hendrix Collection,88
Fire,Jimi Hendrix,Are You Experienced,88
Fire - Anthology Version,Jimi Hendrix,West Coast Seattle Boy: The Jimi Hendrix Anthology,3
Fire and Rain,Birdy,Birdy,1
Fire And The Thud,Arctic Monkeys,Humbug,42
Fire Away (with Kid Harpoon),Skrillex,Recess,1
Fire Coming out of the Monkey's Head,Gorillaz,Demon Days,3
Fire Escape,Foster The People,Supermodel,2
Fire Rides,MØ,No Mythologies to Follow (Deluxe),4
Firefly,Ed Sheeran,The A Team,10
Fireside,Brett Bixby,City Lights,45
Fireside,Arctic Monkeys,AM,45
Firewater,Django Django,Django Django,1
Firewood,Regina Spektor,What We Saw from the Cheap Seats,1
Firework,Katy Perry,Teenage Dream: The Complete Confection,1
First,Cold War Kids,Hold My Home,2
First Episode At Hienton,Elton John,Elton John,1
First It Giveth,Queens of the Stone Age,Songs For The Deaf,2
First of My Kind,Miles Kane,First of My Kind EP,1
Fitzpleasure,alt-J,An Awesome Wave,9
Five,Mr Cooper,Amongst Strangers,1
Five Days Of Summer,Joe Brooks,Constellation Me,1
Five Years - 2012 Remastered Version,David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,1
Flash - Single Version,Queen,Flash Gordon,1
Flash Delirium,MGMT,Congratulations,1
Flash's Theme - Remastered 2011,Queen,Flash Gordon,1
Flexxin,Dutch Uncles,Flexxin,1
"Flick Of The Wrist - Live At The Rainbow, London / November 1974",Queen,Live at the Rainbow ‘74,1
Flickers,Son Lux,We Are Rising,51
"Flightless Bird, American Mouth",Iron & Wine,The Shepherd's Dog,16
Floating Vibes,Surfer Blood,Astro Coast,1
Flow,Cage The Elephant,Thank You Happy Birthday,2
Flower Bombs,Sparrow And The Workshop,Murderopolis,2
Fluorescent Adolescent,Arctic Monkeys,Favourite Worst Nightmare,74
Flutes,Hot Chip,In Our Heads,1
Fly By Night,Rush,Fly By Night,5
Fly Me To The Moon - 2008 Remastered,Frank Sinatra,Nothing But The Best,4
Fly Me to the Moon - in Other Words,Frank Sinatra,Sinatra: Best Of The Best,1
Fly Me To The Moon - Live At The Sands Hotel And Casino/1966,Frank Sinatra,Sinatra At The Sands,1
Follow Me,Uncle Kracker,Double Wide,1
Fool in the Rain - 1990 Remaster,Led Zeppelin,In Through the out Door,2
Fools,The Dodos,Visiter,2
Fools Gold,Fitz and The Tantrums,More Than Just a Dream,2
For All We Know,David Hazeltine,For All We Know,2
"For Emily, Whenever I May Find Her - Live",Simon & Garfunkel,The Essential Simon & Garfunkel,2
"For Emily, Whenever I May Find Her - Live",Simon & Garfunkel,Greatest Hits,2
"For Good - From ""Wicked"" Original Broadway Cast Recording/2003",Stephen Schwartz,Wicked,2
For Those About To Rock,AC/DC JAM,AC/DC Jam Live - Malmö Sweden,1
For You,Staind,Break the Cycle,2
For Your Life - 1990 Remaster,Led Zeppelin,Presence,2
"For Your Life - Live: O2 Arena, London - December 10, 2007",Led Zeppelin,Celebration Day,1
Forever,Drake,More Than A Game,1
Four Sticks - 1993 Remaster,Led Zeppelin,Led Zeppelin IV,3
Four Sticks - Alternate Mix,Led Zeppelin,Led Zeppelin IV,3
Four Sticks - Remaster,Led Zeppelin,Led Zeppelin IV,3
Foxey Lady,Jimi Hendrix,Experience Hendrix: The Best Of Jimi Hendrix,44
Foxey Lady,Jimi Hendrix,Miami Pop Festival,44
Foxey Lady,Jimi Hendrix,Are You Experienced,44
"Foxey Lady - Live 10/10/68 Winterland, San Francisco, CA",Jimi Hendrix,Winterland,5
Free Bird,Lynyrd Skynyrd,The Essential Lynyrd Skynyrd,1
Free Love,Cage The Elephant,Cage The Elephant,3
Freedom,Emma Louise,vs Head vs Heart,18
Freedom,Jimi Hendrix,Experience Hendrix: The Best Of Jimi Hendrix,18
Freedom (#1),MØ,Bikini Daze EP,1
Freedom At 21,Jack White,Blunderbuss,3
Fresh Strawberries,Franz Ferdinand,"Right Thoughts, Right Words, Right Action (Deluxe Edition)",1
Friends - Remaster,Led Zeppelin,Led Zeppelin III,1
Friends - Track - No Vocal,Led Zeppelin,Led Zeppelin III,2
Friends of Friends,Hospitality,Hospitality,1
Fright Lined Dining Room,Arctic Monkeys,Cornerstone,37
From The Night,Stars,From The Night,1
From The Ritz To The Rubble,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",22
Fuck You,Lily Allen,"It's Not Me, It's You",1
Fuel to the Fire,The Maine,Black & White,2
Fun It - Remastered 2011,Queen,Queen 40 Limited Edition Collector's Box Set Vol. 2,2
Fun It - Remastered 2011,Queen,Jazz,2
Funny Honey,Gwen Verdon,Chicago: A Musical Vaudeville (Original Broadway Cast Recording),8
Funny Honey,Renée Zellweger,Chicago - Music From The Miramax Motion Picture,8
Funny Honey,Ann Reinking,Chicago The Musical (New Broadway Cast Recording (1997)),8
Furr,Blitzen Trapper,Furr,1
G.I.N.A.S.F.S.,Fall Out Boy,Infinity On High,11
Gabriel,Lamb,The State I'm In,1
Gallows Pole - 1990 Remaster,Led Zeppelin,Led Zeppelin III,29
Gallows Pole - Remaster,Led Zeppelin,Led Zeppelin III,1
Gallows Pole - Rough Mix,Led Zeppelin,Led Zeppelin III,1
Garbage Truck,Sex Bob-Omb,Scott Pilgrim vs. the World (Original Motion Picture Soundtrack),3
Gasoline,Alpine,Gasoline,1
Geronimo,Sheppard,Geronimo,1
Get Busy Living Or Get Busy Dying (Do Your Part To Save The Scene And Stop Going To Shows),Fall Out Boy,From Under The Cork Tree,18
Get Lucky - Daft Punk Remix,Daft Punk,Get Lucky (Daft Punk Remix) (feat. Pharrell Williams & Nile Rodgers),1
Get Me Golden,Terraplane Sun,Ya Never Know,1
Getting Out of Town,James Congdon,42nd Street (Original Cast Recording),1
Ghosts,Mayday Parade,Monsters in the Closet,3
Ghosts,On An On,Ghosts (Single),3
Ghosts 'n' Stuff (feat. Rob Swire) - Nero Mix,deadmau5,Ghosts 'n' Stuff (feat. Rob Swire) (feat. Rob Swire),1
Ghosts In Love By Vachel Lindsay,Gideon Wagner,Halloween Poems - Volume 1,1
Giants,Bear Hands,Distraction,2
Gimme Shelter,The Rolling Stones,Let It Bleed,1
Gimme Some Truth - Remastered 2010,John Lennon,Power To The People - The Hits,1
Gimme What You Got,Amanda Blank,I Love You,2
Girl from the North Country,Bob Dylan,The Essential Johnny Cash,6
Girl That You Love,Panic! At The Disco,"Too Weird to Live, Too Rare to Die!",1
Girls,Beastie Boys,Licensed To Ill,3
Girls / Girls / Boys,Panic! At The Disco,"Too Weird to Live, Too Rare to Die!",3
Girls Chase Boys,Ingrid Michaelson,Girls Chase Boys,3
Girls Just Want To Have Fun (Feat. Adam Lazzara),The Maine,Punk Goes Pop 5,2
"Give 'Em Hell, Kid",My Chemical Romance,Three Cheers for Sweet Revenge,3
Give It Away,Red Hot Chili Peppers,Greatest Hits,1
Give It to Me,The Maine,Black & White,1
Give Me Love,Ed Sheeran,The A Team,15
Give Me Love,Ed Sheeran,+,15
Give Your Heart Away,The Black Keys,Magic Potion,4
Gives You Hell,The All-American Rejects,When The World Comes Down,1
Giving Up The Gun,Vampire Weekend,Contra,10
Glad to See You Go - 2002 Remaster,Ramones,The Sire Years 1976 - 1981,1
Glamorous Party,High Highs,Ocean to City,2
Glitter Freeze (feat. Mark E Smith),Gorillaz,Plastic Beach,2
Glory And Gore,Lorde,Pure Heroine,1
Glycerine,Bush,Sixteen Stone,1
Goats in Trees,Foster The People,Supermodel,2
Goblin Market By Christina Rossetti,Emma Topping,The Halloween Poetry Collection,2
God Knows I'm Good - 1999 Remaster,David Bowie,Space Oddity,1
God Knows I'm Good - 2009 Remastered Version,David Bowie,Space Oddity [Space Oddity 40th Anniversary Edition],1
God Save the Queen,Sex Pistols,"Never Mind The Bollocks, Here's The Sex Pistols",1
"God, That's Good!",Sweeney Todd: The Demon Barber of Fleet Street Original Broadway Cast Ensemble,Sweeney Todd: The Demon Barber of Fleet Street (Original Broadway Cast Recording),2
"God, That's Good!",Stephen Sondheim,Sweeney Todd,2
Gods & Monsters,Lana Del Rey,Born To Die - The Paradise Edition,1
Going Away To College,blink-182,Enema Of The State,1
Going to California - 1990 Remaster,Led Zeppelin,Led Zeppelin IV,48
Going to California - Mandolin / Guitar Mix,Led Zeppelin,Led Zeppelin IV,3
Going to California - Remaster,Led Zeppelin,Led Zeppelin IV,2
Gold,Spandau Ballet,Gold - The Best of Spandau Ballet,1
Gold on the Ceiling,The Black Keys,Gold on the Ceiling,13
Gold Rush - Deluxe Edition,Ed Sheeran,+,9
Golden,Fall Out Boy,Infinity On High,12
Golden Skans,Klaxons,Myths Of The Near Future,6
Golden Years - 1999 Remaster,David Bowie,Station to Station,1
Golden Years - 2002 Remaster,David Bowie,Best of Bowie,1
Gone Going,Black Eyed Peas,Monkey Business,1
Good As New,Vacationer,Gone,2
Good Life,OneRepublic,Waking Up,1
Good Life (feat. Lauriana Mae),Rock Mafia,Good Life (feat. Lauriana Mae),1
Good Mistake,Mr Little Jeans,Pocketknife,1
Good Old-Fashioned Lover Boy - Digital Remaster,Queen,The A-Z of Queen Vol. 1,1
Good Old-Fashioned Lover Boy - Remastered 2011,Queen,A Day At The Races,15
Good Riddance (Time of Your Life),Green Day,Nimrod,4
Good Times,The Jepettos,Start A New People,2
Good Times Bad Times - 1993 Remaster,Led Zeppelin,Led Zeppelin,28
Good Times Bad Times - 2007 Remastered Version,Led Zeppelin,Mothership,1
"Good Times Bad Times - Live: O2 Arena, London - December 10, 2007",Led Zeppelin,Celebration Day,5
Good Times Bad Times - Remaster,Led Zeppelin,Led Zeppelin,1
"Good Times Bad Times / Communication Breakdown - Live in Paris, 1969",Led Zeppelin,Led Zeppelin,2
Goodbye Babylon,The Black Keys,Magic Potion,3
Goodbye Yellow Brick Road,Elton John,Elton John's Greatest Hits,1
Gooey - Gilligan Moss Remix,Glass Animals,Gooey,1
"Goons (Baby, I Need It All)",MONA,"Goons (Baby, I Need It All)",1
Gorillaz Are Ten - Spotify Radio Show 1 (1),Gorillaz,Gorillaz Are Ten - Spotify Radio Show 1,1
Gorillaz Are Ten - Spotify Radio Show 2 (10),Gorillaz,Gorillaz Are Ten - Spotify Radio Show 2,1
Gorillaz Are Ten - Spotify Radio Show 2 (5),Gorillaz,Gorillaz Are Ten - Spotify Radio Show 2,1
Gorillaz Are Ten - Spotify Radio Show 2 (7),Gorillaz,Gorillaz Are Ten - Spotify Radio Show 2,1
Gorillaz Are Ten - Spotify Radio Show 2 (8),Gorillaz,Gorillaz Are Ten - Spotify Radio Show 2,1
Gorillaz Are Ten - Spotify Radio Show 3 (11),Gorillaz,Gorillaz Are Ten - Spotify Radio Show 3,1
Gorillaz Are Ten - Spotify Radio Show 3 (2),Gorillaz,Gorillaz Are Ten - Spotify Radio Show 3,1
Gorillaz Are Ten - Spotify Radio Show 3 (4),Gorillaz,Gorillaz Are Ten - Spotify Radio Show 3,1
Gorillaz Are Ten - Spotify Radio Show 3 (6),Gorillaz,Gorillaz Are Ten - Spotify Radio Show 3,1
Gotta Get Away,The Black Keys,Gotta Get Away,1
Grace Kelly,MIKA,Life in Cartoon Motion,1
Grade 8,Ed Sheeran,+,8
Grand Theft Autumn / Where Is Your Boy,Fall Out Boy,Believers Never Die - Greatest Hits,29
Grand Theft Autumn / Where Is Your Boy,Fall Out Boy,Take This to Your Grave,29
Gravity,Sara Bareilles,Little Voice,1
"Great King Rat - Live At The Rainbow, London / March 1974",Queen,Live at the Rainbow ‘74,1
Green Finch and Linnet Bird,Sarah Rice,Sweeney Todd: The Demon Barber of Fleet Street (Original Broadway Cast Recording),1
Grenade Jumper,Fall Out Boy,Take This to Your Grave,2
Growing Up,Fall Out Boy,Believers Never Die - Greatest Hits,14
Guitar,Prince,Planet Earth,1
"Guitar Solo - Live At The Rainbow, London / November 1974",Queen,Live at the Rainbow ‘74,1
Gute Nacht,Franz Schubert,Atmosphere: Night,1
Gypsy Eyes,Jimi Hendrix,Electric Ladyland,8
Habits (Stay High),Tove Lo,Habits (Stay High),2
Haerts - Feel Good Indie Rock,Various Artists,Haerts - Feel Good Indie Rock Intro,1
Haiti,Arcade Fire,Funeral,1
Half Life,Sneaker Pimps,Splinter,1
Hall of Fame,The Script,#3,1
Hallelujah,Leonard Cohen,Music From The Motion Picture Watchmen,1
Hallways,Islands,A Sleep & A Forgetting,1
Halo,Cage The Elephant,Melophobia,1
Hammer To Fall - Remastered 2011,Queen,Greatest Hits II,2
Hammer To Fall - Remastered 2011,Queen,Queen 40 Limited Edition Collector's Box Set Vol. 3,2
Hand Covers Bruise,Trent Reznor and Atticus Ross,The Social Network,1
Hang 'Em High,My Chemical Romance,Three Cheers for Sweet Revenge,2
Hang On To Yourself - 2002 Remastered Version,David Bowie,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars [30th Anniversary Edition],2
Hannah Hunt,Vampire Weekend,Modern Vampires of the City,13
Happenstance,Miles Kane,Colour Of The Trap,1
Happy,The Maine,Forever Halloween (Deluxe Version),6
Happy,Pharrell Williams,Despicable Me 2 (Original Motion Picture Soundtrack),6
Happy,The Maine,Forever Halloween,6
"Happy - From ""Despicable Me 2""",Pharrell Williams,G I R L,2
"Happy - From ""Despicable Me 2""",Pharrell Williams,Happy,2
Happy Ending,MIKA,Life in Cartoon Motion,1
"Happy Holidays, You Bastard",blink-182,Take Off Your Pants And Jacket,1
Happy Idiot,TV On The Radio,Seeds,1
Hard Row,The Black Keys,Thickfreakness,1
Hark! The Herald Angels Sing - Remastered 1999,Frank Sinatra,A Jolly Christmas From Frank Sinatra,1
Harper Lee,Little Green Cars,Absolute Zero,1
Háry János Suite: Intermezzo,Zoltán Kodály,Decca Sound: The Analogue Years 1954 – 1968,1
Hats off To (Roy) Harper,Led Zeppelin,Led Zeppelin III,1
Hats off To (Roy) Harper - Remaster,Led Zeppelin,Led Zeppelin III,3
Have You Ever Been (To Electric Ladyland),Jimi Hendrix,Electric Ladyland,52
"Have You Seen Your Mother, Baby, Standing In The Shadow? - (Original Single Mono Version)",The Rolling Stones,Singles 1965-1967,1
Have Yourself A Merry Little Christmas - Remastered 1999,Frank Sinatra,A Jolly Christmas From Frank Sinatra,2
Having a Blast,Green Day,Dookie,1
Hawaiian Roller Coaster Ride,Mark Keali'i Ho'omalu,Lilo & Stitch,1
Head,Prince,The Hits / The B-Sides,2
Head Is Not My Home,MS MR,Secondhand Rapture,1
Headfirst for Halos - Live at Starland Ballroom,My Chemical Romance,Life on the Murder Scene,1
Headfirst Slide Into Cooperstown On A Bad Bet,Fall Out Boy,Folie à Deux,3
Hear My Train a Comin',Jimi Hendrix,"People, Hell & Angels",23
"Hear My Train A comin' - Live 10/10/68 Winterland, San Francisco, CA",Jimi Hendrix,Winterland,3
Hear My Train A Comin' (Acoustic),Jimi Hendrix,Blues,10
Hear My Train A Comin' (Electric),Jimi Hendrix,Blues,5
Heart Skipped A Beat,The xx,xx,4
Heart-Shaped Birthmark,Tei Shi,Saudade,5
Heart-Shaped Box,Nirvana,In Utero,3
Heartbeat,Kopecky,Kids Raising Kids,1
Heartbreaker - 1990 Remaster,Led Zeppelin,Led Zeppelin II,5
Heartbreaker - 2007 Remastered Version,Led Zeppelin,Mothership,1
Heartbreaker - Remaster,Led Zeppelin,Led Zeppelin II,1
Heartbreaker - Rough Mix with Vocal,Led Zeppelin,Led Zeppelin II,1
Heartlines,Florence + The Machine,Ceremonials,1
Hearts Like Ours,The Naked And Famous,In Rolling Waves,1
Heat,David Bowie,The Next Day Extra,3
Heat,David Bowie,The Next Day,3
Heaven For Everyone - Remastered 2011 / Single Version,Queen,Made in Heaven,2
Heaven Help Us,My Chemical Romance,The Black Parade: The B-Sides,1
Heaven's Gonna Burn Your Eyes,Thievery Corporation,The Richest Man In Babylon,1
Heavy Soul,The Black Keys,The Big Come Up,2
Helena,My Chemical Romance,May Death Never Stop You,17
Helena,My Chemical Romance,Three Cheers for Sweet Revenge,17
Helena - Live from Sessions@AOL,My Chemical Romance,Life on the Murder Scene,1
Helena Beat,Foster The People,Torches,3
Helicopter,Bloc Party,Silent Alarm,1
Hell And Back,The Airborne Toxic Event,Dallas Buyers Club,1
Hell Is Round The Corner,Tricky,Maxinquaye,2
Hello World,The Maine,Good Love (The Pioneer B Sides) EP,3
Hemiplegia,HAERTS,Hemiplegia,1
Here And Now,Del Amitri,The Best Of Del Amitri - Hatful Of Rain,1
Here Comes Your Man,Pixies,Doolittle,1
Here It Goes Again,OK Go,Oh No,1
Hero,Regina Spektor,(500) Days of Summer (Music from the Motion Picture),2
Heroes - 1998 Remaster,David Bowie,Platinum Collection,1
Heroes - 1999 Remaster,David Bowie,Heroes,13
Heroes - Single Version [Remastered],David Bowie,Nothing Has Changed,1
Heroes - Single Version; 1990 Remaster,David Bowie,ChangesBowie,1
Hey,Pixies,Wave Of Mutilation: Best Of Pixies,2
Hey Baby (New Rising Sun),Jimi Hendrix,First Rays Of The New Rising Sun,8
Hey Brother - Syn Cole Remix,Avicii,Hey Brother,1
Hey Gypsy Boy,Jimi Hendrix,"People, Hell & Angels",9
Hey Joe,Jimi Hendrix,Experience Hendrix: The Best Of Jimi Hendrix,85
Hey Joe,Jimi Hendrix,Miami Pop Festival,85
Hey Joe,Jimi Hendrix,Are You Experienced,85
"Hey Joe - Live 10/10/68 Winterland, San Francisco, CA",Jimi Hendrix,Winterland,6
"Hey Joe - Live at The Woodstock Music & Art Fair, August 18, 1969",Jimi Hendrix,Live at Woodstock,2
"Hey Joe (Live at the Olympia Theater, Paris, France October 18, 1966)",Jimi Hendrix,The Jimi Hendrix Experience (Box Set),2
Hideaway,Kiesza,Sound Of A Woman,1
High Ball Stepper,Jack White,Lazaretto,4
High Priestess,Active Child,You Are All I See,1
High Roller,The Crystal Method,Vegas,1
High Tide,Lemaitre,High Tide,1
Higher Ground - Remastered 2003,Red Hot Chili Peppers,Mother's Milk,1
Highway Chile,Jimi Hendrix,Are You Experienced,1
Highway Patrolman,Johnny Cash,Johnny 99,1
History Eraser,Courtney Barnett,History Eraser,1
Hit Me Hard,Slagsmålsklubben,Den Svenske Disco,2
Ho Ho Hopefully,The Maine,... And A Happy New Year - EP,1
"Hold Me, Bat Boy",Jim Price,Bat Boy: The Musical (Original Off-Broadway Cast Recording),1
"Hold On, We're Going Home",Drake,Nothing Was The Same,1
Holdin On,Flume,Flume: Deluxe Edition,2
Holding On,Classixx,Majestic Casual - Chapter I,1
Holding on for Life,Broken Bells,Holding on for Life,1
Hole In The Head,Sugababes,Hole In The Head,1
Hole in the Ocean Floor,Andrew Bird,Break It Yourself,1
Holiday,Vampire Weekend,Contra,13
Holiday / Boulevard of Broken Dreams,Green Day,American Idiot,4
Hollaback Girl,Gwen Stefani,Love Angel Music Baby,3
Home,American Authors,American Authors,2
Home,Edward Sharpe & The Magnetic Zeros,Up From Below,2
Home (Leave the Lights On),Field Report,Home (Leave The Lights On),1
Homesick at Space Camp,Fall Out Boy,Take This to Your Grave,2
Honestly Ok,Dido,No Angel,1
"Honey, This Mirror Isn't Big Enough for the Two of Us",My Chemical Romance,May Death Never Stop You,1
Hongkongaton,Gorillaz,D-Sides,1
Honky Tonk Women - Mono Version,The Rolling Stones,"Through The Past, Darkly (Big Hits Vol. 2)",1
Hope There's Someone,Antony and the Johnsons,I Am A Bird Now,3
Horchata,Vampire Weekend,Contra,7
"Hot To The Touch, Cold On The Inside",Fall Out Boy,PAX AM Days,3
Hotel Yorba,The White Stripes,White Blood Cells,1
Houdini,Foster The People,Torches,2
Houdini (RAC Mix),Foster The People,Chapter One,3
Hours,Tycho,Dive,1
House Burning Down,Jimi Hendrix,Electric Ladyland,2
House of Gold,Twenty One Pilots,Vessel,1
House of the Risin' Sun,Bob Dylan,Bob Dylan,1
House of Wolves,My Chemical Romance,The Black Parade,37
House of Wolves - Live in Mexico City,My Chemical Romance,The Black Parade Is Dead!,1
Houses of the Holy - 1990 Remaster,Led Zeppelin,Physical Graffiti,2
HOV Lane,Nicki Minaj,Pink Friday ... Roman Reloaded,1
How,Regina Spektor,What We Saw from the Cheap Seats,1
How Bizarre,OMC,How Bizarre,1
How Can You Mend a Broken Heart - 2009 Remastered Version,Bee Gees,The Ultimate Bee Gees,2
How Can You Swallow So Much Sleep,Bombay Bicycle Club,A Different Kind Of Fix,1
How Come You Never Go There,Feist,Metals,11
How Do You Get That Lonely,Blaine Larsen,Off To Join The World,1
How Do You Keep The Music Playing?/My Funny Valentine,Frank Sinatra,Highlights From Duets,1
How Does The Grass Grow?,David Bowie,The Next Day Extra,2
How Does The Grass Grow?,David Bowie,The Next Day,2
How Good Is Your Love,Mateo,We've Met Before,1
How Many More Times - 1993 Remaster,Led Zeppelin,Led Zeppelin,3
How Many More Times - Remaster,Led Zeppelin,Led Zeppelin,1
How to Be a Heartbreaker,MARINA,Electra Heart,1
How to Save a Life,The Fray,How To Save A Life,1
Howlin' for You,The Black Keys,Brothers,12
Hudson,Vampire Weekend,Modern Vampires of the City,44
Hum Hallelujah,Fall Out Boy,Infinity On High,6
